mass_A
t,x,y
8.498200000E0,3.132817592E1,9.176915621E0
8.531622222E0,3.126317187E1,9.174259982E0
8.564855556E0,3.118273316E1,9.157375716E0
8.598244444E0,3.105376336E1,9.137670341E0
8.631511111E0,3.096210812E1,9.130685686E0
8.664777778E0,3.084967119E1,9.102282445E0
8.698166667E0,3.075627413E1,9.085829000E0
8.731555556E0,3.067094310E1,9.077605243E0
8.764822222E0,3.054362184E1,9.055177564E0
8.798088889E0,3.045305401E1,9.042107372E0
8.831466667E0,3.036470097E1,9.036089072E0
8.864844444E0,3.024372876E1,9.010382552E0
8.898122222E0,3.014564952E1,8.996145407E0
8.931711111E0,3.005963645E1,8.986101046E0
8.964777778E0,2.994540589E1,8.962622915E0
8.998100000E0,2.985989061E1,8.951771422E0
9.031422222E0,2.977125392E1,8.935627135E0
9.064744444E0,2.965524200E1,8.918245462E0
9.098066667E0,2.956707843E1,8.905557864E0
9.131388889E0,2.948169425E1,8.900730016E0
9.164711111E0,2.937042906E1,8.875192541E0
9.198033333E0,2.929061022E1,8.860375195E0
9.231355556E0,2.920617683E1,8.850672063E0
9.264677778E0,2.908639736E1,8.828817231E0
9.298000000E0,2.899716644E1,8.816116101E0
9.331322222E0,2.887779469E1,8.793544115E0
9.364644444E0,2.877922765E1,8.773552300E0
9.397966667E0,2.867116248E1,8.759440301E0
9.431288889E0,2.855858689E1,8.737428128E0
9.464611111E0,2.845515411E1,8.722815590E0
9.497933333E0,2.835250167E1,8.707932407E0
9.531255556E0,2.824462496E1,8.686471303E0
9.564577778E0,2.813084499E1,8.671387136E0
9.598011111E0,2.804346617E1,8.655132111E0
9.631277778E0,2.791460804E1,8.637213283E0
9.664544444E0,2.780926595E1,8.624291145E0
9.697933333E0,2.772103130E1,8.601843244E0
9.731322222E0,2.761551306E1,8.587819437E0
9.764711111E0,2.750260874E1,8.580591025E0
9.797922222E0,2.743355293E1,8.563178659E0
9.831255556E0,2.731988577E1,8.549093130E0
9.864588889E0,2.721335823E1,8.536456740E0
9.897922222E0,2.713830959E1,8.513719209E0
9.931255556E0,2.703652799E1,8.497226289E0
9.964588889E0,2.694698208E1,8.474140236E0
9.997922222E0,2.683966041E1,8.451520210E0
1.003125556E1,2.673987602E1,8.444447019E0
1.006458889E1,2.663550916E1,8.415289100E0
1.009792222E1,2.653134124E1,8.407246262E0
1.013125556E1,2.643283547E1,8.399787004E0
1.016458889E1,2.635090313E1,8.375378539E0
1.019792222E1,2.627184363E1,8.362957170E0
1.023125556E1,2.618959199E1,8.357404737E0
1.026458889E1,2.610797930E1,8.347600712E0
1.029792222E1,2.602109123E1,8.332300897E0
1.033115556E1,2.594799091E1,8.319673524E0
1.036438889E1,2.586734354E1,8.316564096E0
1.039781111E1,2.579856862E1,8.305596436E0
1.043113333E1,2.572357265E1,8.287859108E0
1.046445556E1,2.565150639E1,8.276151675E0
1.049777778E1,2.558734127E1,8.268807722E0
1.053110000E1,2.552148107E1,8.262213670E0
1.056442222E1,2.544437712E1,8.238680275E0
1.059774444E1,2.537722679E1,8.227959841E0
1.063106667E1,2.530313296E1,8.217795994E0
1.066438889E1,2.522115775E1,8.197513213E0
1.069771111E1,2.514742743E1,8.183450318E0
1.073114444E1,2.508913345E1,8.172734188E0
1.076441111E1,2.501194308E1,8.155108815E0
1.079767778E1,2.494449023E1,8.136309315E0
1.083107778E1,2.487070334E1,8.130711721E0
1.086437778E1,2.479214913E1,8.118196369E0
1.089767778E1,2.470928376E1,8.099841431E0
1.093097778E1,2.462032020E1,8.092275913E0
1.096427778E1,2.454983118E1,8.087257630E0
1.099757778E1,2.448286002E1,8.078018414E0
1.103098889E1,2.442535474E1,8.064023220E0
1.106440000E1,2.437033985E1,8.048712515E0
1.109764444E1,2.431608861E1,8.043620210E0
1.113100000E1,2.425783027E1,8.041044740E0
1.116435556E1,2.419532025E1,8.033088824E0
1.119771111E1,2.414083047E1,8.019050784E0
1.123095556E1,2.408103880E1,8.002955630E0
1.126420000E1,2.402533760E1,8.001372957E0
1.129762222E1,2.397412718E1,7.997875224E0
1.133104444E1,2.391885865E1,7.989898229E0
1.136426667E1,2.384376191E1,7.970983536E0
1.139748889E1,2.376909969E1,7.957589298E0
1.143100000E1,2.370631218E1,7.953278012E0
1.146423333E1,2.364714009E1,7.948070376E0
1.149746667E1,2.355986822E1,7.930142301E0
1.153088889E1,2.349080442E1,7.912282564E0
1.156421111E1,2.340821580E1,7.908090752E0
1.159753333E1,2.333234477E1,7.906353002E0
1.163085556E1,2.326852474E1,7.892071027E0
1.166417778E1,2.316419908E1,7.879750774E0
1.169750000E1,2.308246975E1,7.869728138E0
1.173082222E1,2.300730009E1,7.863994152E0
